timestamp,gaze_x,gaze_y,pupil_left,pupil_right,blink,focus_score
1764433274.7556336,0.03199999999999988,-0.009999999999999943,4.439,8.558,1,0.500
1764433274.8569674,0.018990909090909006,-0.0005606060606061442,4.471,9.130,0,0.500
1764433274.8891082,-0.005909262187088203,0.006491633728590259,4.481,9.530,1,0.500
1764433274.918968,-0.021181938076416287,-0.00341040184453221,4.970,9.811,0,0.500
1764433274.937833,0.03289991607378132,0.21579453689064562,8.854,10.536,1,0.500
1764433274.9659917,0.013939032160737769,0.15673799400527016,7.702,11.044,1,0.617
1764433274.9870222,0.009662625542819473,0.08736811095520437,7.131,10.012,1,0.631
1764433275.016612,0.0043964136375493285,0.039850859486824944,6.731,9.291,1,0.645
1764433275.0507023,0.0016282141839656214,0.038713407023800106,6.189,10.379,0,0.656
1764433275.0792701,0.0022267064505150035,0.004273297960138332,6.550,9.349,0,0.664
1764433275.098218,0.001558694515360317,-0.013313039253990123,6.213,8.735,0,0.671
1764433275.1373148,0.018482390508578247,-0.020188692695184328,6.774,8.296,0,0.679
1764433275.164599,0.03141593422557005,-0.026088606625759524,7.166,7.988,0,0.687
1764433275.1883965,0.015469414827464067,-0.005218546377162103,6.594,9.467,1,0.694
1764433275.207156,0.003219894727050811,0.007760061014247273,6.009,10.503,0,0.699
1764433275.2482622,-0.0010069432562816384,0.021736390536060045,5.680,11.435,1,0.703
1764433275.2808397,0.004828736558547388,-0.002620495004204545,5.299,10.017,0,0.707
1764433275.3000016,0.005603435749086005,-0.018533951246026185,5.032,9.024,0,0.709
1764433275.3480697,-0.010850322248367003,0.004071688673236219,4.970,10.192,1,0.713
1764433275.3915374,-0.014215778933540505,-0.024669580774584383,5.416,9.210,0,0.717
1764433275.4311893,-0.00683839703213448,0.0012095543273560848,6.087,10.116,1,0.721
1764433275.4591634,-0.0016742297011502626,0.01932494889871441,6.557,10.749,1,0.722
1764433275.4737692,-0.014808324427168819,0.018072918774554567,6.378,11.193,1,0.723
1764433275.5056436,-0.05354764528083622,0.004696497687642806,7.712,11.504,0,0.716
1764433275.569487,-0.057937897151130804,-0.02625790616410445,8.235,10.039,0,0.715
1764433275.6003158,-0.06101107346033702,-0.045653261587600386,8.601,9.013,0,0.716
1764433275.6289184,-0.080586539301024,-0.03298542163945867,9.393,9.771,0,0.711
1764433275.6673965,-0.06530385814312792,-0.0352439453452494,8.370,9.030,0,0.713
1764433275.7026913,-0.05934906433655337,-0.05080712537803808,8.502,8.512,0,0.716
1764433275.720378,-0.03358979958104197,-0.05033771503735386,7.732,7.971,0,0.719
1764433275.7457116,0.03192192290196627,-0.009445886692155608,12.812,7.592,0,0.716
1764433275.8055916,0.0204184685610206,0.011569697497309319,11.037,9.190,0,0.713
1764433275.8295853,0.013502414158722201,0.026280606429934766,9.795,10.309,0,0.712
1764433275.8430533,0.040429950780670694,-0.0071964608745397965,8.529,8.966,0,0.716
1764433275.8894866,0.047520333135402354,-0.047922898106249,8.894,8.149,0,0.740
1764433275.9064648,0.05282945058608618,-0.08354602867437425,9.148,7.812,0,0.752
1764433275.9363306,0.07502409367112994,-0.08565613311554017,8.235,7.392,0,0.748
1764433275.9852865,0.09056034383066058,-0.08495929318087818,7.673,7.099,0,0.739
1764433276.0046344,0.10034876242059296,-0.08447150522661478,7.279,6.893,0,0.728
1764433276.0307255,0.10067891630311085,-0.09065179278906518,7.090,6.820,0,0.719
1764433276.0954196,0.10817286987067555,-0.08139103756104141,7.363,6.895,0,0.713
1764433276.1099274,0.11341863736797084,-0.07490850890142475,7.553,6.947,0,0.709
1764433276.1275306,0.11704126750145302,-0.06928378231795385,8.775,7.058,0,0.707
1764433276.2230673,0.1131047765790803,-0.07517848951980088,7.818,6.882,0,0.703
1764433276.240419,0.10767713148414414,-0.07762494266386068,7.125,7.013,0,0.699
1764433276.2571955,0.10872379441044239,-0.07770702508209379,6.784,6.964,0,0.694
1764433276.270793,0.10981877729943082,-0.07626991755746572,6.545,6.929,0,0.690
1764433276.3196557,0.10686326268667685,-0.08332965375267659,6.532,6.776,0,0.689
1764433276.350645,0.10024894791229441,-0.08945723984031248,6.523,6.764,0,0.686
1764433276.378865,0.09734817658208446,-0.09522876354039264,6.517,6.756,0,0.683
1764433276.4159005,0.09087099633473184,-0.10188740720554763,6.231,6.881,0,0.681
1764433276.4305618,0.0890543614659329,-0.11040221271186759,6.175,6.969,0,0.679
1764433276.4782655,0.09084184090494096,-0.10209215495891343,5.942,6.750,0,0.678
1764433276.5020974,0.0920930765122466,-0.09741147816820908,5.778,6.597,0,0.680
1764433276.5477593,0.0978149559301141,-0.09150819282051315,6.008,6.490,0,0.680
1764433276.57556,0.09159299879534863,-0.07976719742495195,6.368,6.576,0,0.680
1764433276.6381283,0.09405581061919463,-0.07154850064805912,6.620,6.475,0,0.686
1764433276.6549335,0.09577977889588682,-0.06465904926787057,6.796,6.405,0,0.689
1764433276.673185,0.09698655668957137,-0.06319611709620518,6.919,6.447,0,0.691
1764433276.734478,0.0919436199857302,-0.06488122136128295,7.286,6.385,0,0.692
1764433276.7520137,0.08841356429304138,-0.0660607943468374,7.542,6.342,0,0.717
1764433276.7678533,0.09493873742937131,-0.04463270755793768,8.579,6.542,0,0.749
1764433276.7976727,0.08197095019265484,-0.06350574114035881,7.450,6.683,0,0.793
1764433276.863414,0.10955357817833664,-0.05314967097216408,6.275,6.683,1,0.817
1764433276.888589,0.12252083805816885,-0.045538103013848065,5.453,6.683,1,0.827
1764433276.9136102,0.13793849968419644,-0.03405058515317178,4.924,6.683,1,0.824
1764433276.9713182,0.12886920274336444,-0.03727414478508586,4.779,6.099,1,0.822
1764433276.9904475,0.11629539844209423,-0.03478755352347302,4.677,6.099,1,0.805
1764433277.0122132,0.10581154081422806,-0.034849122964266614,4.810,5.894,1,0.799
1764433277.0697174,0.07334344088880002,-0.02656829911846495,5.085,6.352,0,0.792
1764433277.0900238,0.055791754377853726,-0.03629967273696266,5.144,6.496,0,0.785
1764433277.1059852,-0.01407077193550247,0.10970927670317367,5.237,10.995,0,0.777
1764433277.153165,0.007887613795346027,0.052488193296964525,5.308,9.655,0,0.774
1764433277.1770883,0.00962212017057634,0.04874766416163023,5.357,10.427,0,0.764
1764433277.1914115,0.0193301810891004,0.030335486125262382,5.462,9.285,1,0.755
1764433277.2312665,0.015606225576599402,0.03976250827187351,5.367,10.168,0,0.746
1764433277.2966354,0.028710919168441842,0.005748775553157434,5.399,9.074,0,0.740
1764433277.3124506,0.019702386500913237,0.014893708104601507,5.421,9.557,0,0.733
1764433277.3267298,0.0035238134077822496,0.024562500435125874,5.578,9.720,0,0.726
1764433277.3747072,-0.016270390655960226,0.03986455775800425,5.455,10.220,0,0.720
1764433277.4079907,0.001084846623643644,-0.007239737105629043,5.433,9.182,0,0.715
1764433277.469784,0.011266639013362138,-0.04663096297186986,5.691,8.455,0,0.715
1764433277.4843366,0.01910206232911628,-0.06554681242022985,5.873,7.886,0,0.717
1764433277.5195093,0.03254140410468976,-0.06495391493922024,5.651,7.573,0,0.719
1764433277.5508995,0.0373234963308397,-0.07300397234151215,5.457,7.252,0,0.721
1764433277.5753477,0.05058296917071828,-0.07048683861007299,5.286,7.240,0,0.721
1764433277.6233444,0.047675159164844466,-0.07589358205810705,5.198,6.994,0,0.721
1764433277.6482954,0.05782913315452161,-0.06911282628125465,5.136,7.302,0,0.721
1764433277.6664817,0.05411675684452869,-0.0689282208211208,5.228,7.310,0,0.722
1764433277.7336607,0.05648292026736062,-0.05732713552716557,5.258,7.414,0,0.722
1764433277.755142,0.06103425630836443,-0.048935813050834144,5.279,7.442,0,0.723
1764433277.793931,0.06727931538423448,-0.04976890312767882,5.214,7.554,0,0.726
1764433277.8074243,0.07051037584142802,-0.04973859450821563,5.168,7.714,0,0.727
1764433277.839816,0.06334535832709479,-0.044936063774798564,5.025,7.677,0,0.729
1764433277.887814,0.058640993253208894,-0.04547039615751063,5.134,7.641,0,0.735
1764433277.9153123,0.05525324073179161,-0.04584442882540908,5.210,7.616,0,0.749
1764433277.9450133,0.07010019341344001,-0.045381614011778454,5.059,7.009,0,0.757
1764433277.9851599,0.08602665712853856,-0.04698452111259262,4.837,7.009,1,0.761
1764433278.033194,0.12896865998997697,-0.04747249811214822,5.027,5.781,1,0.759
1764433278.052236,0.1582780619929839,-0.048839444330677655,4.728,4.922,1,0.742
1764433278.080933,0.1435844984675526,-0.04908797335031481,4.789,5.801,1,0.733
1764433278.1448112,0.0991833913515293,-0.015043399527038485,6.045,6.201,1,0.740
1764433278.160313,0.06696625273394942,0.009829468815921552,6.925,6.481,1,0.743
1764433278.1757693,0.03383289865289502,0.007967584692884154,7.221,6.523,1,0.749
1764433278.222735,-0.018411832603052413,0.07168402865260771,7.915,8.306,1,0.744
1764433278.2544756,-1.1213863065375516,1.3249811915983274,51.567,7.913,1,0.315
1764433278.2811847,-1.893468438291701,2.202289205660331,82.123,7.639,1,0.195
1764433278.3034759,-0.9867915431678271,1.0688751712349587,72.920,7.447,1,0.173
1764433278.366978,-0.678159383247782,0.7428148925917437,52.746,7.312,1,0.166
1764433278.3899174,-0.46156927578332885,0.5166601481343788,38.624,7.218,1,0.164
1764433278.4040675,-0.3269804806259699,0.36854616166507964,28.474,8.014,0,0.164
1764433278.462749,-0.20047724552908794,0.2371489798322223,21.651,7.538,0,0.164
1764433278.4756842,-0.13366411139605325,0.15276317916318802,16.643,7.376,0,0.164
1764433278.4934137,-0.09863734174535314,0.10838350077655044,13.174,8.125,0,0.165
1764433278.5426197,-0.06914495345099621,0.0765601501483284,10.679,8.827,0,0.165
1764433278.5747297,-0.03847063737617165,0.026171156487228956,8.949,8.302,0,0.165
1764433278.6376524,-0.004103359206798416,0.002015461714973313,7.699,8.154,0,0.165
1764433278.6651187,0.00799721377263235,-0.03011091592995334,7.299,8.050,0,0.166
1764433278.6787736,0.019135599047957266,-0.03530689016282517,6.650,7.946,0,0.166
